Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2020-04-30,8658.5537109375,9440.650390625,8533.255859375,8797.669921875,66964629541
2020-05-31,9461.05859375,9700.34375,9432.296875,9700.10546875,27773290299
2020-06-30,9137.9931640625,9217.8359375,9084.837890625,9185.5810546875,15735797744
2020-07-31,11323.466796875,11415.8642578125,10987.0537109375,11110.2109375,23160469766
2020-08-31,11680.8203125,11768.876953125,11598.318359375,11713.306640625,22285928250
2020-09-30,10784.4912109375,10847.2568359375,10669.3212890625,10843.87109375,44171073700
2020-10-31,13780.9951171875,14028.2138671875,13457.5302734375,13546.5322265625,30306464719
2020-11-30,19625.8359375,19749.263671875,18178.322265625,18178.322265625,47728480399
2020-12-31,29001.720703125,29244.876953125,28201.9921875,28841.57421875,46754964848
2021-01-31,33114.359375,34288.33203125,32270.17578125,34270.87890625,52754542671
2021-02-28,45137.76953125,46716.4296875,43241.6171875,46194.015625,53443887451
2021-03-31,58918.83203125,59930.02734375,57726.41796875,58930.27734375,65520826225
2021-04-30,57750.17578125,57900.71875,53129.6015625,53568.6640625,52395931985
2021-05-31,37332.85546875,37468.25,34241.9453125,35658.59375,39009847639
2021-06-30,35040.8359375,36074.7578125,34086.15234375,35908.38671875,34059036099
2021-07-31,41626.1953125,42231.44921875,41110.83203125,42196.3046875,25802845343
2021-08-31,47166.6875,48189.55078125,46750.09375,47024.33984375,34730363427
2021-09-30,43790.89453125,44092.6015625,41444.58203125,41551.26953125,31141681925
2021-10-31,61318.95703125,62406.171875,60074.328125,61850.48828125,32241199927
2021-11-30,57005.42578125,59113.40234375,56057.28125,57830.11328125,36708594618
2021-12-31,46306.4453125,48472.52734375,45819.953125,47169.37109375,36974172400
2022-01-31,38483.125,38647.26171875,36733.57421875,37920.28125,20734730465
2022-02-28,43193.234375,43760.45703125,37518.21484375,37706.0,35690014104
2022-03-31,45538.67578125,47512.02734375,45390.5390625,47062.1484375,33327427106
2022-04-30,37714.875,38771.2109375,37697.94140625,38605.859375,23895713731
2022-05-31,31792.310546875,32249.86328125,31286.154296875,31723.865234375,33538210634
2022-06-30,19784.7265625,20141.16015625,18729.65625,20108.3125,26267239923
2022-07-31,23336.896484375,24121.642578125,23275.703125,23652.0703125,23553591896
2022-08-31,20049.763671875,20420.990234375,19799.58203125,19799.58203125,33225232872
2022-09-30,19431.7890625,20109.849609375,19265.662109375,19573.431640625,43975248085
2022-10-31,20495.7734375,20795.3203125,20287.458984375,20633.6953125,45668466815
2022-11-30,17168.56640625,17190.9375,16445.4765625,16445.4765625,29523576583
2022-12-31,16547.49609375,16628.986328125,16517.51953125,16603.673828125,11239186456
2023-01-31,23139.283203125,23225.021484375,22765.568359375,22840.796875,22837828665
2023-02-28,23147.353515625,23585.384765625,23077.650390625,23521.837890625,20535363434
2023-03-31,28478.484375,28639.896484375,27583.71484375,28032.26171875,19001327598
2023-04-30,29268.806640625,29952.029296875,29114.021484375,29245.515625,14652199272
2023-05-31,27219.658203125,27831.677734375,26866.453125,27700.529296875,15656371534
2023-06-30,30477.251953125,31256.86328125,29600.275390625,30441.353515625,26387306197
2023-07-31,29230.111328125,29489.873046875,29131.578125,29278.314453125,11656781982
2023-08-31,25931.47265625,27456.078125,25752.9296875,27301.9296875,20181001451
2023-09-30,26967.916015625,27091.794921875,26888.96875,26911.689453125,5331172801
2023-10-31,34667.78125,34719.25390625,34083.30859375,34500.078125,15758270810
2023-11-30,37712.74609375,38141.75390625,37531.140625,37861.1171875,18115982627
2023-12-31,42265.1875,42860.9375,41998.25390625,42152.09765625,16397498810
2024-01-31,42582.60546875,43717.40625,42298.9453125,42946.25,24673628793
2024-02-29,61198.3828125,63585.64453125,60498.73046875,62499.18359375,65496611844
2024-03-31,71333.6484375,71377.78125,69624.8671875,69647.78125,20050941373
2024-04-30,60636.85546875,64703.33203125,59120.06640625,63839.41796875,37840840057
2024-05-31,67491.4140625,68999.5625,66633.421875,68362.515625,27387283769
2024-06-30,62678.29296875,62892.828125,60632.94921875,60888.4453125,17333226409
2024-07-31,64619.25,66810.2109375,64532.046875,66201.2734375,31292785994
2024-08-31,58969.8984375,59432.59375,58768.78515625,59117.48046875,12403470760
2024-09-30,63329.5,65635.0546875,62873.6171875,65634.65625,37112957475
2024-10-31,70215.1875,72662.3125,69590.5,72335.046875,40627912076
2024-11-30,96449.0546875,97499.34375,96144.21875,97468.8125,31634227866
2024-12-31,93429.203125,96090.6015625,91914.03125,92643.25,43625106843
2025-01-31,102405.0234375,106026.3515625,101543.8828125,104737.5625,45732764360
2025-02-28,84373.0078125,85036.3203125,78248.9140625,84705.625,83610570576
2025-03-31,82548.9140625,83870.125,81293.890625,82336.0625,29004228247
